	intercept	confounder	gradient
S103	1.0	1.0	1.0909090909090908
S104	1.0	1.0	1.4545454545454546
S105	1.0	1.0	1.8181818181818183
S106	1.0	1.0	2.1818181818181817
S107	1.0	1.0	2.5454545454545454
S108	1.0	1.0	2.909090909090909
S109	1.0	1.0	3.272727272727273
S110	1.0	1.0	3.6363636363636367
S111	1.0	1.0	4.0
S112	1.0	1.0	4.363636363636363
S113	1.0	1.0	4.7272727272727275
S114	1.0	1.0	5.090909090909091
S115	1.0	1.0	5.454545454545455
S116	1.0	1.0	5.818181818181818
S117	1.0	1.0	6.181818181818182
S118	1.0	1.0	6.545454545454546
S119	1.0	1.0	6.909090909090909
S120	1.0	1.0	7.272727272727273
S121	1.0	1.0	7.636363636363637
S122	1.0	1.0	8.0
S123	1.0	1.0	8.363636363636363
S124	1.0	1.0	8.727272727272727
S125	1.0	1.0	9.090909090909092
S126	1.0	1.0	9.454545454545455
S127	1.0	1.0	9.818181818181818
S128	1.0	1.0	10.181818181818182
S129	1.0	1.0	10.545454545454545
S130	1.0	1.0	10.90909090909091
S131	1.0	1.0	11.272727272727273
S132	1.0	1.0	11.636363636363637
S133	1.0	1.0	12.0
S134	1.0	1.0	12.363636363636363
S135	1.0	1.0	12.727272727272728
S136	1.0	1.0	13.090909090909092
S137	1.0	1.0	13.454545454545455
S138	1.0	1.0	13.818181818181818
S139	1.0	1.0	14.181818181818182
S140	1.0	1.0	14.545454545454547
S141	1.0	1.0	14.90909090909091
S142	1.0	1.0	15.272727272727273
S143	1.0	1.0	15.636363636363637
S144	1.0	1.0	16.0
S145	1.0	1.0	16.363636363636363
S146	1.0	1.0	16.727272727272727
S147	1.0	1.0	17.09090909090909
S148	1.0	1.0	17.454545454545453
S149	1.0	1.0	17.81818181818182
S150	1.0	1.0	18.181818181818183
S151	1.0	1.0	18.545454545454547
S152	1.0	1.0	18.90909090909091
S153	1.0	1.0	19.272727272727273
S154	1.0	1.0	19.636363636363637
S155	1.0	1.0	20.0
S156	1.0	1.0	20.363636363636363
S157	1.0	1.0	20.727272727272727
S158	1.0	1.0	21.09090909090909
S159	1.0	1.0	21.454545454545457
S160	1.0	1.0	21.81818181818182
S161	1.0	1.0	22.181818181818183
S162	1.0	1.0	22.545454545454547
S163	1.0	1.0	22.90909090909091
S164	1.0	1.0	23.272727272727273
S165	1.0	1.0	23.636363636363637
S166	1.0	1.0	24.0
S167	1.0	1.0	24.363636363636363
S168	1.0	1.0	24.727272727272727
S169	1.0	1.0	25.09090909090909
S170	1.0	1.0	25.454545454545457
S171	1.0	1.0	25.81818181818182
S172	1.0	1.0	26.181818181818183
S173	1.0	1.0	26.545454545454547
S174	1.0	1.0	26.90909090909091
S175	1.0	1.0	27.272727272727273
S176	1.0	1.0	27.636363636363637
S177	1.0	1.0	28.0
S178	1.0	1.0	28.363636363636363
S179	1.0	1.0	28.727272727272727
S180	1.0	1.0	29.090909090909093
S181	1.0	1.0	29.454545454545457
S182	1.0	1.0	29.81818181818182
S183	1.0	1.0	30.181818181818183
S184	1.0	1.0	30.545454545454547
S185	1.0	1.0	30.90909090909091
S186	1.0	1.0	31.272727272727273
S187	1.0	1.0	31.636363636363637
S188	1.0	1.0	32.0
S189	1.0	1.0	32.36363636363637
S190	1.0	1.0	32.72727272727273
S191	1.0	1.0	33.09090909090909
S192	1.0	1.0	33.45454545454545
S193	1.0	1.0	33.81818181818182
S194	1.0	1.0	34.18181818181818
S195	1.0	1.0	34.54545454545455
S196	1.0	1.0	34.90909090909091
S197	1.0	1.0	35.27272727272727
S198	1.0	1.0	35.63636363636364
S199	1.0	1.0	36.0
